country,eprc_v1,eprc_v2,eprc_v3,epr_v1,epr_v3,epc,ept_v1,ept_v3,year,primerate,youthrate,oldrate,gdp
CAN,0.921,"","",0.921,"","",0.25,,1993,17.1901222728,17.1901222728,10.2680848652,741593
CAN,0.921,"","",0.921,"","",0.25,,1994,15.8953722334,9.3527598767,9.3527598767,786584
CAN,0.921,"","",0.921,"","",0.25,,1994,15.8953722334,15.8953722334,9.3527598767,786584
CAN,0.921,"","",0.921,"","",0.25,,1995,14.8363252376,8.4990059642,8.4990059642,826214
CAN,0.921,"","",0.921,"","",0.25,,1995,14.8363252376,14.8363252376,8.4990059642,826214
CAN,0.921,"","",0.921,"","",0.25,,1996,15.4073344819,8.6406992348,8.6406992348,854847
CAN,0.921,"","",0.921,"","",0.25,,1996,15.4073344819,15.4073344819,8.6406992348,854847
CAN,0.921,"","",0.921,"","",0.25,,1997,16.2568080541,7.8308151714,7.8308151714,901376
CAN,0.921,"","",0.921,"","",0.25,,1997,16.2568080541,16.2568080541,7.8308151714,901376
CAN,0.921,1.506,"",0.921,"",2.969,0.25,,1998,15.148309395,7.0599000493,7.0599000493,936730
CAN,0.921,1.506,"",0.921,"",2.969,0.25,,1998,15.148309395,15.148309395,7.0599000493,936730
CAN,0.921,1.506,"",0.921,"",2.969,0.25,,1999,14.0577835274,6.4270845128,6.4270845128,1001845
CAN,0.921,1.506,"",0.921,"",2.969,0.25,,1999,14.0577835274,14.0577835274,6.4270845128,1001845
CAN,0.921,1.506,"",0.921,"",2.969,0.25,,2000,12.6746583187,5.75,5.75,1098166
CAN,0.921,1.506,"",0.921,"",2.969,0.25,,2000,12.6746583187,12.6746583187,5.75,1098166
CAN,0.921,1.506,"",0.921,"",2.969,0.25,,2001,12.8980234782,6.1914207153,6.1914207153,1134832
CAN,0.921,1.506,"",0.921,"",2.969,0.25,,2001,12.8980234782,12.8980234782,6.1914207153,1134832
CAN,0.921,1.506,"",0.921,"",2.969,0.25,,2002,13.6641028419,6.5682353632,6.5682353632,1180948
CAN,0.921,1.506,"",0.921,"",2.969,0.25,,2002,13.6641028419,13.6641028419,6.5682353632,1180948
CAN,0.921,1.506,"",0.921,"",2.969,0.25,,2003,13.6691665487,6.4473224825,6.4473224825,1243829
CAN,0.921,1.506,"",0.921,"",2.969,0.25,,2003,13.6691665487,13.6691665487,6.4473224825,1243829
CAN,0.921,1.506,"",0.921,"",2.969,0.25,,2004,13.4324676698,6.0191190687,6.0191190687,1324940
CAN,0.921,1.506,"",0.921,"",2.969,0.25,,2004,13.4324676698,13.4324676698,6.0191190687,1324940
CAN,0.921,1.506,"",0.921,"",2.969,0.25,,2005,12.4254297716,5.7556034021,5.7556034021,1410710
CAN,0.921,1.506,"",0.921,"",2.969,0.25,,2005,12.4254297716,12.4254297716,5.7556034021,1410710
CAN,0.921,1.506,"",0.921,"",2.969,0.25,,2006,11.6861493635,5.2884496907,5.2884496907,1486918
CAN,0.921,1.506,"",0.921,"",2.969,0.25,,2006,11.6861493635,11.6861493635,5.2884496907,1486918
CAN,0.921,1.506,"",0.921,"",2.969,0.25,,2007,11.1869587366,5.0562162865,5.0562162865,1565900
CAN,0.921,1.506,"",0.921,"",2.969,0.25,,2007,11.1869587366,11.1869587366,5.0562162865,1565900
CAN,0.921,1.506,1.506,0.921,0.921,2.969,0.25,0.21,2008,11.581760481,5.0686156797,5.0686156797,1645974
CAN,0.921,1.506,1.506,0.921,0.921,2.969,0.25,0.21,2008,11.581760481,11.581760481,5.0686156797,1645974
CAN,0.921,1.506,1.506,0.921,0.921,2.969,0.25,0.21,2009,15.2065038419,7.062904495,7.062904495,1567007
CAN,0.921,1.506,1.506,0.921,0.921,2.969,0.25,0.21,2009,15.2065038419,15.2065038419,7.062904495,1567007
CAN,0.921,1.506,1.506,0.921,0.921,2.969,0.25,0.21,2010,14.7858434154,6.8709244342,6.8709244342,1662757
CAN,0.921,1.506,1.506,0.921,0.921,2.969,0.25,0.21,2010,14.7858434154,14.7858434154,6.8709244342,1662757
CAN,0.921,1.506,1.506,0.921,0.921,2.969,0.25,0.21,2011,14.1651031895,6.2002964285,6.2002964285,1770014
CAN,0.921,1.506,1.506,0.921,0.921,2.969,0.25,0.21,2011,14.1651031895,14.1651031895,6.2002964285,1770014
CAN,0.921,1.506,1.506,0.921,0.921,2.969,0.25,0.21,2012,14.3033596838,6.0151926035,6.0151926035,1831228
CAN,0.921,1.506,1.506,0.921,0.921,2.969,0.25,0.21,2012,14.3033596838,14.3033596838,6.0151926035,1831228
CAN,0.921,1.506,1.506,0.921,0.921,2.969,0.25,0.21,2013,13.6645523037,5.8802605369,5.8802605369,1893759
CAN,0.921,1.506,1.506,0.921,0.921,2.969,0.25,0.21,2013,13.6645523037,13.6645523037,5.8802605369,1893759
CHE,1.595,"","",1.595,"","",1.125,,1991,3.1929544623,1.5993823594,1.5993823594,373499.491678519E
CHE,1.595,"","",1.595,"","",1.125,,1991,3.1929544623,3.1929544623,1.5993823594,373499.491678519E
CHE,1.595,"","",1.595,"","",1.125,,1992,4.5335541027,2.5829705542,2.5829705542,381268.179696525E
CHE,1.595,"","",1.595,"","",1.125,,1992,4.5335541027,4.5335541027,2.5829705542,381268.179696525E
CHE,1.595,"","",1.595,"","",1.125,,1993,6.3849721827,3.2489442599,3.2489442599,389629.829747696E
CHE,1.595,"","",1.595,"","",1.125,,1993,6.3849721827,6.3849721827,3.2489442599,389629.829747696E
CHE,1.595,"","",1.595,"","",1.125,,1994,5.9767930786,3.5342174117,3.5342174117,399250.505749979E
CHE,1.595,"","",1.595,"","",1.125,,1994,5.9767930786,5.9767930786,3.5342174117,399250.505749979E
CHE,1.595,"","",1.595,"","",1.125,,1995,5.450292442,3.0181791575,3.0181791575,404130.032823
CHE,1.595,"","",1.595,"","",1.125,,1995,5.450292442,5.450292442,3.0181791575,404130.032823
CHE,1.595,"","",1.595,"","",1.125,,1996,4.6514865056,3.6599018284,3.6599018284,407409.51787
CHE,1.595,"","",1.595,"","",1.125,,1996,4.6514865056,4.6514865056,3.6599018284,407409.51787
CHE,1.595,"","",1.595,"","",1.125,,1997,5.9947915984,4.07004808,4.07004808,415948.421243
CHE,1.595,"","",1.595,"","",1.125,,1997,5.9947915984,5.9947915984,4.07004808,415948.421243
CHE,1.595,2.175,"",1.595,"",3.625,1.125,,1998,5.7721369127,3.3358115239,3.3358115239,427658.406726
CHE,1.595,2.175,"",1.595,"",3.625,1.125,,1998,5.7721369127,5.7721369127,3.3358115239,427658.406726
CHE,1.595,2.175,"",1.595,"",3.625,1.125,,1999,5.6498917654,2.6493202173,2.6493202173,435463.93659
CHE,1.595,2.175,"",1.595,"",3.625,1.125,,1999,5.6498917654,5.6498917654,2.6493202173,435463.93659
CHE,1.595,2.175,"",1.595,"",3.625,1.125,,2000,4.8064555119,2.28078123,2.28078123,458778.94899
CHE,1.595,2.175,"",1.595,"",3.625,1.125,,2000,4.8064555119,4.8064555119,2.28078123,458778.94899
CHE,1.595,2.175,"",1.595,"",3.625,1.125,,2001,5.6253728478,2.0621961228,2.0621961228,470213.917074
CHE,1.595,2.175,"",1.595,"",3.625,1.125,,2001,5.6253728478,5.6253728478,2.0621961228,470213.917074
CHE,1.595,2.175,"",1.595,"",3.625,1.125,,2002,5.5854386397,2.6547822399,2.6547822399,469337.803126
CHE,1.595,2.175,"",1.595,"",3.625,1.125,,2002,5.5854386397,5.5854386397,2.6547822399,469337.803126
CHE,1.595,2.175,"",1.595,"",3.625,1.125,,2003,8.4975242704,3.6636670003,3.6636670003,474015.013603
CHE,1.595,2.175,"",1.595,"",3.625,1.125,,2003,8.4975242704,8.4975242704,3.6636670003,474015.013603
CHE,1.595,2.175,"",1.595,"",3.625,1.125,,2004,7.7089012857,3.9817722733,3.9817722733,489369.096365
CHE,1.595,2.175,"",1.595,"",3.625,1.125,,2004,7.7089012857,7.7089012857,3.9817722733,489369.096365
CHE,1.595,2.175,"",1.595,"",3.625,1.125,,2005,8.7614885149,3.8480817043,3.8480817043,507463.398934
